Status,Product Area,Response,Justification,Request Type
Replied,Subscription,You can pause your HackerRank subscription by navigating to Settings > User Account Settings and Preferences > Pause Subscription. Follow the instructions to temporarily pause your subscription. Note that this feature may be subject to plan eligibility and pause duration limits.,"The corpus includes a dedicated article on pausing subscriptions (data/hackerrank/settings/user-account-settings-and-preferences/5157311476-pause-subscription.md), so a direct and accurate response can be provided.",product_issue
Escalated,Service Availability,We have escalated your report about Claude being unresponsive. Our engineering team is investigating potential service-wide outages. We will provide updates as soon as possible.,"The issue states that 'all requests are failing' for Claude, which implies a potential site-wide outage. Outages are critical operational issues that require escalation per the rules.",bug
Escalated,Security,We take reports of identity theft very seriously. Your case has been escalated to Visa's fraud and security team. Please call Visa customer support immediately at 1-800-VISA-911 to report this and secure your accounts.,"The ticket contains the keyword 'identity theft', which matches the escalation criteria (e.g., 'stolen', 'fraud'). Such issues are critical and require human intervention.",product_issue
Escalated,Service Availability,We have escalated the report that the Resume Builder is down. Our team is investigating whether this is a widespread service outage. We apologize for the inconvenience and are working to restore access.,"The issue states that 'Resume Builder is Down', which indicates a potential service outage. According to rules, 'site down' and 'none of the pages' are escalation triggers. This qualifies as a critical operational issue.",bug
Replied,Certifications,"Yes, you can update the name on your HackerRank certificate. Please go to your profile settings and ensure your name is correct there. After updating, you can re-download the certificate from the Certifications section. For further assistance, refer to the Certifications FAQs.","The corpus contains a direct FAQ article confirming that name updates on certificates are allowed (data/hackerrank/hackerrank_community/certifications/8941367927-certifications-faqs.md). This is a valid, documentable response.",product_issue
Replied,Billing,"To dispute a charge on your Visa card, contact Visa customer support immediately or reach out to your card-issuing bank. They will guide you through the dispute process, including providing necessary forms and documentation. Visit the Visa consumer support page for more information.","Disputing a charge is a standard procedure. While the corpus doesn't detail the exact steps, it references Visa consumer support, and this is a common process that can be guided without hallucination. It does not involve fraud or legal terms requiring escalation.",product_issue
Escalated,Security,Thank you for reporting a security vulnerability. We take such reports seriously. Please submit the details through our Public Vulnerability Reporting form at https://docs.google.com/forms/d/1bjD-H30kVJAbIHnFXKzFcSjkUNjE-mwRHSF7R2... or via the Model Safety Bug Bounty Program. Your report will be reviewed by our security team.,"The ticket mentions a 'major security vulnerability', which aligns with security/bug bounty procedures. The corpus includes a page on Public Vulnerability Reporting and a Bug Bounty Program, so escalation ensures proper handling by the security team.",bug
Escalated,Claude,Error processing ticket,"API error after retry: Error code: 429 - {'message': ""We're experiencing high traffic right now! Please try again soon."", 'type': 'too_many_requests_error', 'param': 'queue', 'code': 'queue_exceeded'}",invalid
Escalated,Visa,Error processing ticket,"API error after retry: Error code: 429 - {'message': ""We're experiencing high traffic right now! Please try again soon."", 'type': 'too_many_requests_error', 'param': 'queue', 'code': 'queue_exceeded'}",invalid
Escalated,Claude,Error processing ticket,"API error after retry: Error code: 429 - {'message': ""We're experiencing high traffic right now! Please try again soon."", 'type': 'too_many_requests_error', 'param': 'queue', 'code': 'queue_exceeded'}",invalid
Escalated,None,Error processing ticket,"API error after retry: Error code: 429 - {'message': ""We're experiencing high traffic right now! Please try again soon."", 'type': 'too_many_requests_error', 'param': 'queue', 'code': 'queue_exceeded'}",invalid
Escalated,Visa,Error processing ticket,"API error after retry: Error code: 429 - {'message': ""We're experiencing high traffic right now! Please try again soon."", 'type': 'too_many_requests_error', 'param': 'queue', 'code': 'queue_exceeded'}",invalid
Escalated,Claude,Error processing ticket,"API error after retry: Error code: 429 - {'message': ""We're experiencing high traffic right now! Please try again soon."", 'type': 'too_many_requests_error', 'param': 'queue', 'code': 'queue_exceeded'}",invalid
Escalated,HackerRank,Error processing ticket,"API error after retry: Error code: 429 - {'message': ""We're experiencing high traffic right now! Please try again soon."", 'type': 'too_many_requests_error', 'param': 'queue', 'code': 'queue_exceeded'}",invalid
Escalated,Claude,Error processing ticket,"API error after retry: Error code: 429 - {'message': ""We're experiencing high traffic right now! Please try again soon."", 'type': 'too_many_requests_error', 'param': 'queue', 'code': 'queue_exceeded'}",invalid
Escalated,Visa,Error processing ticket,"API error after retry: Error code: 429 - {'message': ""We're experiencing high traffic right now! Please try again soon."", 'type': 'too_many_requests_error', 'param': 'queue', 'code': 'queue_exceeded'}",invalid
